"AbsoluteCoordID","Plot","Subplot","Project","Type","AbsoluteCoordXEastLong","AbsoluteCoordYNorthLat","Datum","MapProjection","MapSeries","MapSheet","GPS","Method","Source","PlotCoordinateID","PlotID","PlotObsID","ProjectID"
284794,"BN117","","National Biodiversity Monitoring and Reporting System: Main 2012","Grid Coordinate (map)","1586058","5299423","NZGD2000","NZTM2000","Topo50","BT24","Garmin 62s ","GPS","Original Coordinate",391575,,1426651,4112
284815,"BR113","","National Biodiversity Monitoring and Reporting System: Main 2012","Grid Coordinate (map)","1618049","5331400","NZGD2000","NZTM2000","Topo50","BT26","Garmin 62s ","GPS","Original Coordinate",392026,,1427091,4112
285250,"BP113","","National Biodiversity Monitoring and Reporting System: Main 2012","Grid Coordinate (map)","1602043","5331403","NZGD2000","NZTM2000","Topo50","BT25","Garmin 62s ","GPS","Original Coordinate",409209,,1444311,4112
285251,"BR114","","National Biodiversity Monitoring and Reporting System: Main 2012","Grid Coordinate (map)","1618050","5323411","NZGD2000","NZTM2000","Topo50","BT26","Garmin 62s ","GPS","Original Coordinate",409253,,1444355,4112
285387,"BP116","","National Biodiversity Monitoring and Reporting System: Main 2012","Grid Coordinate (map)","1602049","5307414","NZGD2000","NZTM2000","Topo50","BT25","Garmin 62s ","GPS","Original Coordinate",413252,,1449088,4112
285388,"BQ115","","National Biodiversity Monitoring and Reporting System: Main 2012","Grid Coordinate (map)","1610046","5315408","NZGD2000","NZTM2000","Topo50","BT25","Garmin 62s ","GPS","Original Coordinate",413296,,1449132,4112
286833,"BN113","","National Biodiversity Monitoring and Reporting System: Main 2013","Grid Coordinate (map)","1586053","5331398","NZGD2000","NZTM2000","Topo50","BT24","Garmin 62s ","GPS","Original Coordinate",434383,,1492244,4254
286834,"BO116","","National Biodiversity Monitoring and Reporting System: Main 2013","Grid Coordinate (map)","1594053","5307417","NZGD2000","NZTM2000","Topo50","BT25","Garmin 62s ","GPS","Original Coordinate",434427,,1492288,4254
286837,"BQ116","","National Biodiversity Monitoring and Reporting System: Main 2013","Grid Coordinate (map)","1610046","5307407","NZGD2000","NZTM2000","Topo50","BT25","Garmin 62s ","GPS","Original Coordinate",434559,,1492420,4254
287279,"BP111","","National Biodiversity Monitoring and Reporting System: Main 2013","Grid Coordinate (map)","1602059","5347406","NZGD2000","NZTM2000","Topo50","BS25","Garmin 62s ","GPS","Original Coordinate",442213,,1506868,4254
