"plot.yr","plot","year","native.n","n","exotic.n","prop.native","fenced.year","simpson.R","berger.parker.I","DCA1","DCA2","x","y","soil.class","rain.class","oversow.year","terrace","water.deficit","temperature","lcdb","lenz.soil","dem.altitude","dem.slope","grazing.areas","fenced.areas","summer.winter.grazing.areas","ACACAE","ACAFIS","ACAINE","ACAPRO","ACASAC","ACIAUR","ACIGLA","ACIMON","ACRCOL","AGRCAP","AGRCAS","AGRDYE","AGRMUS","AGRSTO","ANAARV","ANABEL","ANIARO","ANIFIL","ANTODO","ANTSOL","APHARV","ARESER","ARIFRU","ASTNER","BLEPEN","BRABEL","BRACAS","BRALAG","BRAMON","BRAORB","BRASIN","BROHOR","BULHOO","CARALP","CARAUS","CARAVO","CARBRE","CARCOL","CARCOR","CARDEB","CARDIA","CARECH","CARFLA","CARGAU","CARKAL","CARLAC","CARMUE","CAROVA","CARRES","CARSIN","CARTES","CELALL","CELALP","CELDUR","CELGRA","CELLAR","CELMON","CELRHI","CELSPE","CELTRA","CELVIS","CERFON","CERGLO","CERSEM","CHIAUS","CHIFLA","CHIFSB","CHIMAC","CHIPAL","CHIRUB","COLAPE","COPATR","COPCHE","COPDUM","COPFOW","COPPET","COPPRO","CORSAR","CRAINC","CRALAN","CRASIN","CRATAR","CRATARN","CRAUNI","CRAWHI","CRECAP","CYNCRI","DACGLO","DESNOV","DEYAVE","DIAARM","DICCRI","DISTOU","DRAACE","DRAPRO","DRAPRS","DRAROS","DROARC","ECHVUL","ELEACU","ELEGRA","ELYAFR","ELYSOL","EPIALS","EPIANG","EPIATR","EPICHI","EPICHL","EPICIL","EPIGLA","EPIMAC","EUCAUD","EUCLAT","EUCTRA","EUPMON","EUPZEL","EXOBID","FESMAT","FESNOV","FESRUB","GALAPA","GALDRY","GALPER","GALPRO","GAUCRA","GAUDEP","GENBEL","GENCOR","GENGRI","GERBRE","GERMIC","GERSES","GINTRI","GLYFLU","GONMIC","HALBID","HEBANO","HEBBRA","HEBCAN","HEBGLA","HEBLYC","HEBMAC","HEBMVB","HEBODO","HEBPIM","HEBPIN","HEBRAK","HELDEP","HELPAR","HIEAUR","HIECAE","HIEMUR","HIENOV","HIEPIL","HIEPOL","HIEPRA","HOLLAN","HYDMON","HYDNOV","HYDSUL","HYPJAP","HYPPER","HYPRAD","HYPRIV","ISOAUC","JUNART","JUNEFF","JUNSQU","KELCRO","KELDIE","KOENOV","LACLYA","LAGSTR","LEPPEC","LEPPSP","LEPPUS","LEPSCO","LEPSQU","LEUFRA","LIMLIN","LINCAT","LOBANG","LOBION","LOTPED","LUZBAN","LUZCRI","LUZLIM","LUZPUM","LUZRUF","LUZULO","LYCAUS","LYCFAS","LYCSCA","LYPANT","MELALP","MENCUN","MICSCA","MICUNI","MIMMOS","MONFON","MUEAXI","MUECOM","MYCMUR","MYOCAE","MYRDIV","MYRNUM","NERCIL","NERDEP","NERSET","OLECYM","OLENUM","OPHCOR","ORECOL","OREPEC","ORERAM","ORERIG","ORESTR","OROMIN","OXAEXI","OZOLEP","OZOVAU","PENPUM","PHLPRA","PHOCOO","PHYALP","PILAUR","PILCAE","PILOFF","PILPRA","PIMCON","PIMMES","PIMORE","PIMSER","PIMTRA","PLATRI","PLAUNI","POAANN","POACIT","POACOL","POADIP","POAIMB","POALIN","POAPAL","POAPRA","POATRI","PODHAL","PODNIV","POLCYS","POLVES","POTCHE","PRAANG","PRACOL","PRUVUL","PSELUT","PSYOBT","PTEAUS","RANAMP","RANCHE","RANFOL","RANGLA","RANGRA","RANINS","RANMAC","RANMUL","RAOGLA","RAOGRA","RAOHOO","RAOPAR","RAOSUB","ROSRUB","RUMACE","RUMCRI","RUMFLE","RYTAUS","RYTBUC","RYTCLA","RYTGRA","RYTNIG","RYTPUM","RYTSET","RYTTHO","SAGPRO","SCHARU","SCHHAA","SCHHYD","SCHNIT","SCHPAU","SCHPHO","SCHROU","SCLBIF","SCLUNI","SENWAI","STAMIN","STEGRA","STEGRM","TAROFF","THELON","TRIARV","TRIDUB","TRIPRA","TRIREP","UNCDIV","UNCFUS","UNCRUB","VERARV","VERSER","VERTHA","VERVIR","VIOCUN","VITAUS","WAHALB"
"A1-2007","A1",2007,15,17,2,0.882352941176471,"Unfenced",12.3847878718944,10.1857142857143,0.0791822397094691,2.52444381314487,1579991.89473907,5327135.21971151,"Lewis",30,"No","Terrace",0,65,"Tall Tussock Grassland","ZOT",1133,9,0,"","Summer",0,0,0,0,0,2,0,0,194,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,174,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
"A1-2016","A1",2016,15,16,1,0.9375,"Unfenced",12.2398580328576,8.43621399176955,0.0766754573283031,2.5927308758472,1579991.89473907,5327135.21971151,"Lewis",30,"No","Terrace",0,65,"Tall Tussock Grassland","ZOT",1133,9,0,"","Summer",0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,243,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,223,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,174,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"A2-2007","A2",2007,16,18,2,0.888888888888889,"Unfenced",12.6481494970632,8.04526748971193,0.102459378402946,2.54460471348325,1580078.88982442,5327322.14439622,"Lewis",30,"No","Slope",0,63,"Tall Tussock Grassland","ZOT",1171,23,0,"","Summer",0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,183,0,0,0,0,0,0,0,89,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,153,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,137,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2-2016","A2",2016,16,17,1,0.941176470588235,"Unfenced",10.1570664914543,7.19545454545455,0.0807201004248443,2.58920704121449,1580078.88982442,5327322.14439622,"Lewis",30,"No","Slope",0,63,"Tall Tussock Grassland","ZOT",1171,23,0,"","Summer",0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,171,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,201,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,89,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3-2007","A3",2007,15,15,0,1,"Unfenced",9.05697741116058,6.41363636363636,0.0744745995821092,2.37907193431819,1580169.88221943,5327499.07195677,"Lewis",30,"No","Slope",0,61,"Tall Tussock Grassland","ZOT",1204,27,0,"","Summer",0,0,0,0,0,89,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,117,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,2,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3-2016","A3",2016,13,15,2,0.866666666666667,"Unfenced",11.9839807277721,8.58252427184466,0.0715475672583188,2.56041804985031,1580169.88221943,5327499.07195677,"Lewis",30,"No","Slope",0,61,"Tall Tussock Grassland","ZOT",1204,27,0,"","Summer",0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,60,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,194,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4-2007","A4",2007,13,13,0,1,"Unfenced",9.02591376899358,7.05622489959839,0.0806963917571206,2.36264072139553,1580244.88046944,5327679.00060709,"Lewis",30,"No","Terrace",0,61,"Tall Tussock Grassland","ZOT",1211,17,0,"","Summer",0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"A4-2016","A4",2016,11,12,1,0.916666666666667,"Unfenced",8.76826329483376,6.14545454545455,0.100461732540857,2.57074815063187,1580244.88046944,5327679.00060709,"Lewis",30,"No","Terrace",0,61,"Tall Tussock Grassland","ZOT",1211,17,0,"","Summer",0,0,0,0,0,0,0,0,102,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"AR-1-Fe-2008","AR-1-Fe",2008,13,23,10,0.565217391304348,"Fenced",11.8724646857928,8.0948275862069,0.143726275656217,2.30839761725242,1589261.4433986,5317373.33287392,"Bealey",30,"No","Terrace",21,64,"Low Producing Grassland","BLT",1171,12,15,"AlmaRiver","Summer",0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,187,0,0,137,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,2,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2
"AR-1-Fe-2016","AR-1-Fe",2016,18,27,9,0.666666666666667,"Fenced",16.4820671619565,11.6995884773663,0.180767379397951,1.62263239768393,1589261.4433986,5317373.33287392,"Bealey",30,"No","Terrace",21,64,"Low Producing Grassland","BLT",1171,12,15,"AlmaRiver","Summer",0,0,0,0,0,0,0,0,2,121,0,0,0,0,0,0,0,0,108,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,142,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,2,0,0,0,0,0,174,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,89,0,2,0,0,0,0,0,2,0,137
