####Data from Scott height frequency intercept plots established by Cath Dickenson and Alan Mark in 1989. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"### Tier1 = 0-5 cm high, Tier2 = 5-10, Tier3 = 10-15, Tier4 = 15-20, Tier5 = 20-25, Tier6 = 25-30, Tier7 = 30-35, Tier8 = 35-40 , Tier9 = 40-45, Tier10 = 45-50, Tier11 = 50-55, Tier12 =  55-60, Tier13 = 60-65, Tier14 = 65-70, Tier15 = 70-75, Tier16 = 75-80, Tier17 = 80-85, Tier18 = 85-90, Tier19 = 90-95, Tier20 = 95-100. Final tier (not really a tier) is Greater100, which encompasess the few very high intercepts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###No plant intercepts greater than 135cm high were observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,Plot,Spp,Species,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8,Tier9,Tier10,Tier11,Tier12,Tier13,Tier14,Tier15,Tier16,Tier17,Tier18,Tier19,Tier20,Greater100,Greater105,Greater110,Greater115,Greater120,Greater125,Greater130
1989,M1,Acrothamnus,Acacol,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Agrostis cap,Agrcap,49,23,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Anisotome ar,Aniaro,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Carex echina,Carech,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Carex gaudic,Cargau,65,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Carex sincla,Carsin,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Celmisia sp.,Celrhi,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Cerastium fo,Cerfon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Chionochloa,Chirub,1,1,2,2,4,4,4,4,3,3,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Drosera arct,Drosarc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Eleocharis g,Elegra,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Epilobium an,Epiang,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Euchiton aud,Eucaud,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Festuca matt,Fesmat,12,14,13,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Gentianella,Gencor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Gonocarpus m,Gonmic,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Grass,Grass,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Hieracium pi,Hiepil,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Holcus lanat,Hollan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Hydrocotyle,Hydmon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Hydrocotyle,Hydsul,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Hypochoeris,Hyprad,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Juncus artic,Junart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Juncus effus,Juneff,5,5,5,5,5,4,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Leptinella s,Lepsqu,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Leucopogon f,Leufra,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,M1,Luzula pumil,Luzpum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
