####Molesworth Cover scores for randomly located plots established  by NZ Forest Surveys Jan 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"###Plot sizes are: Subplot1- 0.25 m2 (0.5m x 0.5m), Subplot2- 1 m2 (1m x 1m), Subplot3- 4 m2 (2m x 2m), Subplot4- 25 m2 (5m x 5m), Subplot5- 100 m2 (10m x 10m), Subplot6- 400 m2 (20m x 20m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"##Height tiers are: 1 (0-0.1 m high); 2 (0.1-0.3); 3 (0.3-1); 4 (1-2), 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###Some duplicted species entries removed manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Plot No.,Species,Subplot1.Tier1,Subplot1.Tier2,Subplot1.Tier3,Subplot1.Tier4,Subplot1.Tier5,Subplot1.Tier6,Subplot2.Tier1,Subplot2.Tier2,Subplot2.Tier3,Subplot2.Tier4,Subplot2.Tier5,Subplot2.Tier6,Subplot3.Tier1,Subplot3.Tier2,Subplot3.Tier3,Subplot3.Tier4,Subplot3.Tier5,Subplot3.Tier6,Subplot4.Tier1,Subplot4.Tier2,Subplot4.Tier3,Subplot4.Tier4,Subplot4.Tier5,Subplot4.Tier6,Subplot5.Tier1,Subplot5.Tier2,Subplot5.Tier3,Subplot5.Tier4,Subplot5.Tier5,Subplot5.Tier6,Subplot6.Tier1,Subplot6.Tier2,Subplot6.Tier3,Subplot6.Tier4,Subplot6.Tier5,Subplot6.Tier6,BrowserSpecies,BrowserIntensity
A,1,ACIAUR,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,hare,L
A,1,ACIMON,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,ACRCOL,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,,,,
A,1,ANIARO,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,BARE GROUND,0,,,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,2,,,,,,,
A,1,BRABEL,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,CELGRA,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,CELINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,1,CELLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,1,CELMON,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
A,1,CELSPE,4,,,,,,4,,,,,,3,,,,,,2,1,,,,,2,1,,,,,2,1,,,,,,
A,1,CHIAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A,1,CHIPAL,,,,,,,,,,,,,1,1,1,,,,2,2,2,,,,2,2,2,,,,2,2,2,,,,hare,L
A,1,DRAPRO,,,,,,,1,,,,,,3,2,,,,,3,3,,,,,4,3,,,,,3,3,1,,,,,
A,1,DRAROS,,,,,,,,,,,,,1,1,,,,,3,3,3,,,,3,3,3,,,,3,3,2,,,,,
A,1,EPIALS,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,FESNOV,,,,,,,,,,,,,2,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,,
A,1,GAUDEP,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,
A,1,GENCOR,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,1,HEBBRA,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,
A,1,HEBCAN,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
A,1,HEBDEC,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,
