###Quadrat plot data (nested sizes) froma paired fenced and unfenced plots on Molesworth. Plots established in early 2008 by NZ Forest Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Plot No.,Species,Subplot1.Tier1,Subplot1.Tier2,Subplot1.Tier3,Subplot1.Tier4,Subplot1.Tier5,Subplot1.Tier6,Subplot2.Tier1,Subplot2.Tier2,Subplot2.Tier3,Subplot2.Tier4,Subplot2.Tier5,Subplot2.Tier6,Subplot3.Tier1,Subplot3.Tier2,Subplot3.Tier3,Subplot3.Tier4,Subplot3.Tier5,Subplot3.Tier6,Subplot4.Tier1,Subplot4.Tier2,Subplot4.Tier3,Subplot4.Tier4,Subplot4.Tier5,Subplot4.Tier6,Subplot5.Tier1,Subplot5.Tier2,Subplot5.Tier3,Subplot5.Tier4,Subplot5.Tier5,Subplot5.Tier6,Subplot6.Tier1,Subplot6.Tier2,Subplot6.Tier3,Subplot6.Tier4,Subplot6.Tier5,Subplot6.Tier6,BrowserSpecies,BrowserIntensity,Browser2Species,Browser2Intensity
PT,1 unfenced,VEGETATION,5,,,,,,5,,,,,,5,,,,,,5,,,,,,6,,,,,,6,,,,,,,,,
PT,1 unfenced,MOSS,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,1,,,,,,,,,
PT,1 unfenced,LITTER,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,BARE GROUND,3,,,,,,2,,,,,,3,,,,,,3,,,,,,3,,,,,,2,,,,,,,,,
PT,1 unfenced,ROCK,2,,,,,,3,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,
PT,1 unfenced,HIEPIL,5,,,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,,,,,
PT,1 unfenced,TRIARV,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,RUMACE,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,UNCFUS,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,ANTODO,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,POACOL,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,cattle,L,,
PT,1 unfenced,ROSRUB,,,,,,,1,2,1,,,,1,2,2,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,,,,
PT,1 unfenced,ELYAFR,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,,,,
PT,1 unfenced,ECHVUL,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,1,1,1,,,,,,,
PT,1 unfenced,PIMSER,,,,,,,,,,,,,1,,,,,,1,,,,,,1,1,,,,,1,1,,,,,,,,
PT,1 unfenced,DIAARM,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,FESNOV,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,1,,,,1,1,1,,,,,,,
PT,1 unfenced,RAOSUB,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,GERSES,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,HYPRAD,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,WAHALB,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,THELON,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,AGRCAP,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,1,,,,,,,,
PT,1 unfenced,DICCRI,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,CELGRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,HYPPER,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,LACHNA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,ACRCOL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,
PT,1 unfenced,RYTSET,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,cattle,L,,
PT,1 unfenced,TRIPRA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,TRIREP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
PT,1 unfenced,DISTOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,cattle,L,,
PT,1 unfenced,HIECAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,1 unfenced,LINCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PT,1 unfenced,MELALP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,hare,H,,
PT,1 unfenced,DEYAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
