#####SitedataenteredbyLizzie 2016,,,,,,,,,,,,,,,,,,,,
##GPS references in NZTM 2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Line,Plot,Area,Date,People,Substrate,Cultural,East,North,Altitude,Aspect,Slope,Shape,Physiography,Time,Drainage,Species,Animal,Score,Pellets,Comments
A,1,Lake Tennyson,16/01/16,"Lizzie, Emi, Sean",Colluvial,,1579992,5327135,1140,140,15,Linear,Face,2,Good,POAcol,hare,L,Yes,
A,1,,,,,,,,,,,,,,,CHImac,hare,L,,
A,2,Lake Tennyson,16/01/16,"Lizzie, Emi, Sean",Colluvial,,1580073,5327316,1170,140,25,Linear,Face,2,Good,POAcol,hare,L,Yes,
A,2,,,,,,,,,,,,,,,CHImac,hare,L,,
A,2,,,,,,,,,,,,,,,CELmon,hare,L,,
A,3,Lake Tennyson,16/01/16,"Lizzie, Emi, Sean",Colluvial,,1580168,5327495,1200,100,25,Linear,Face,2,Good,CHImac,hare,L,Yes,No sign of cattle nearby
A,4,Lake Tennyson,16/01/16,"Lizzie, Emi, Sean",Colluvial,,1580243,5327686,1240,90,25,Linear,Face,2.5,Good,POAcol,hare,L,Yes,Chionachloa appears to be regerating with numerous small plants
AR,1Fe,Alma Bend,02/02/16,"Sean, Emi",Colluvial,Grazed,1589261,5317371,1170,10,22,Linear,Face,4,Good,POAcol,hare,L,Yes,Fence does not exclude cattle from this plot. Heavily trampled
AR,1Fe,,,,,,,,,,,,,,,AGRcap,cattle,L,Yes,
AR,1Fe,,,,,,,,,,,,,,,ANTodo,cattle,L,Yes,
AR,1Un,Alma River,02/02/16,"Sean, Emi",Colluvial,,1589266,5317367,1170,30,20,Linear,Face,3,Good,RYTset,cattle,M,Yes,On colluvial slope 50m above alluvial terrace
AR,1Un,,,,,,,,,,,,,,,FESrub,cattle,,,
AR,1Un,,,,,,,,,,,,,,,CHImac,hare,M,Yes,
AR,2Fe,Alma River,02/03/16,"Sean, Emi, Betka",Colluvial,,1589352,5317539,1215,24,22,Convex,Face,2.5,Good,CHImac,hare,L,Yes,Center peg up rooted
AR,2Fe,,,,,,,,,,,,,,,CHIfla,hare,L,Yes,
AR,2Un,Alma River,02/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1589357,5317541,1214,90,33,Linear,Face,2.5,Good,RYTset,cattle,L,Yes,B and C pegs up rooted
AR,2Un,,,,,,,,,,,,,,,RYTset,hare,L,Yes,
AR,2Un,,,,,,,,,,,,,,,CHImac,hare,L,Yes,
AR,3Fe,Alma River,02/03/16,"Sean, Emi, Betka",Colluvial,,1589039,5317209,1270,30,10,Convex,Face,3,Good,CHImac,hare,L,Yes,Fence poor. Cattle have access
AR,3Fe,,,,,,,,,,,,,,,CHIfla,hare,H,Yes,
AR,3Un,Alma River,02/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1589046,5317206,1268,90,8,Linear,Face,3,Good,CHImac,hare,M,Yes,A and center pegs up rooted
B,1,Turk Ridge,01/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1587683,5336459,1437,220,32,Convex,Face,2,Good,RYTset,hare,M,Yes,"All pegs found, even on active scree. No cattle here."
B,1,,,,,,,,,,,,,,,CHImac,hare,M,,
B,1,,,,,,,,,,,,,,,POAcol,hare,L,,
B,2,Turk Ridge,01/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1587607,5336178,1347,220,30,Linear,Face,,Good,MELalp,hare,H,Yes,"All pegs found, Rock field. No sign of cattle"
B,3,Turk Ridge,01/03/16,"Sean, Emi, Betka",Morraine,Grazed,1587540,5335997,1296,220,12,Linear,Face,3,Good,MELalp,hare,H,Yes,A and B pegs up rooted
B,3,,,,,,,,,,,,,,,RYTset,cattle,M,Yes,
B,3,,,,,,,,,,,,,,,RYTset,hare,M,Yes,
B,3,,,,,,,,,,,,,,,COPpro,hare,M,Yes,
B,4,Turk Ridge,01/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1587487,5335813,1308,70,18,Convex,Face,2.5,Good,CHIfla,hare,H,Yes,All pegs found
C,1,Bowscale,15/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1596634,5338232,1430,18,31,,Face,3,Good,CHIfla,chamois,M,Yes,No cattle
