"plot","year","woody","native","hfi","un50","ov50","x","y","terrace","dem.altitude","fenced","oversown"
"A1",2007,"Herbaceous","Native",75,71,4,1579991.89473907,5327135.21971151,"Terrace",1133,"unfenced","natural"
"A1",2007,"Herbaceous","Exotic",2,2,0,1579991.89473907,5327135.21971151,"Terrace",1133,"unfenced","natural"
"A1",2007,"Woody","Native",133,130,3,1579991.89473907,5327135.21971151,"Terrace",1133,"unfenced","natural"
"A1",2016,"Woody","Native",171,163,8,1579991.89473907,5327135.21971151,"Terrace",1133,"unfenced","natural"
"A1",2016,"Herbaceous","Exotic",3,3,0,1579991.89473907,5327135.21971151,"Terrace",1133,"unfenced","natural"
"A1",2016,"Herbaceous","Native",74,70,4,1579991.89473907,5327135.21971151,"Terrace",1133,"unfenced","natural"
"A2",2007,"Herbaceous","Exotic",7,7,0,1580078.88982442,5327322.14439622,"Slope",1171,"unfenced","natural"
"A2",2007,"Woody","Native",90,90,0,1580078.88982442,5327322.14439622,"Slope",1171,"unfenced","natural"
"A2",2016,"Woody","Native",136,127,9,1580078.88982442,5327322.14439622,"Slope",1171,"unfenced","natural"
"A2",2007,"Herbaceous","Native",190,184,6,1580078.88982442,5327322.14439622,"Slope",1171,"unfenced","natural"
"A2",2016,"Herbaceous","Exotic",1,1,0,1580078.88982442,5327322.14439622,"Slope",1171,"unfenced","natural"
"A2",2016,"Herbaceous","Native",206,197,9,1580078.88982442,5327322.14439622,"Slope",1171,"unfenced","natural"
"A3",2007,"Herbaceous","Native",186,177,9,1580169.88221943,5327499.07195677,"Slope",1204,"unfenced","natural"
"A3",2007,"Woody","Native",130,130,0,1580169.88221943,5327499.07195677,"Slope",1204,"unfenced","natural"
"A3",2016,"Woody","Native",104,103,1,1580169.88221943,5327499.07195677,"Slope",1204,"unfenced","natural"
"A3",2016,"Herbaceous","Native",170,161,9,1580169.88221943,5327499.07195677,"Slope",1204,"unfenced","natural"
"A3",2016,"Herbaceous","Exotic",7,7,0,1580169.88221943,5327499.07195677,"Slope",1204,"unfenced","natural"
"A4",2016,"Woody","Native",78,76,2,1580244.88046944,5327679.00060709,"Terrace",1211,"unfenced","natural"
"A4",2016,"Herbaceous","Native",326,297,29,1580244.88046944,5327679.00060709,"Terrace",1211,"unfenced","natural"
"A4",2007,"Woody","Native",76,76,0,1580244.88046944,5327679.00060709,"Terrace",1211,"unfenced","natural"
"A4",2016,"Herbaceous","Exotic",4,4,0,1580244.88046944,5327679.00060709,"Terrace",1211,"unfenced","natural"
"A4",2007,"Herbaceous","Native",239,234,5,1580244.88046944,5327679.00060709,"Terrace",1211,"unfenced","natural"
"AR-1-Fe",2008,"Herbaceous","Exotic",74,74,0,1589261.4433986,5317373.33287392,"Terrace",1171,"fenced","natural"
"AR-1-Fe",2016,"Woody","Native",2,2,0,1589261.4433986,5317373.33287392,"Terrace",1171,"fenced","natural"
